BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
11,13920,13944,25,13751244,15644634,13,1.40227
4,5271,5295,25,41407058,43763107,41,0.88373
1,1675,1699,25,143474642,144972015,143,0.72504
6,7992,8016,25,51831698,54456990,51,0.64469
8,10528,10552,25,44027940,45829367,44,0.5844
4,4884,4908,25,8991180,10737673,8,0.50565
11,13891,13915,25,11662712,13521427,11,0.4835
19,21862,21886,25,54539527,56104218,54,0.44723
6,8647,8671,25,110720211,112154716,110,0.44624
21,23087,23111,25,22012794,23755490,22,0.44337
6,7865,7889,25,42294971,43818336,42,0.42436
18,20920,20944,25,38471116,40464954,38,0.40557
23,24879,24903,25,48659317,50009589,48,0.39239
10,12954,12978,25,41907778,44103665,41,0.38341
14,17370,17394,25,50874869,53717608,50,0.37934
9,11373,11397,25,1363468,3115242,1,0.36789
1,1351,1375,25,117854060,119544478,117,0.366
6,7800,7824,25,37704254,39529973,37,0.35894
6,8264,8288,25,79450422,81652194,79,0.3572
23,24502,24526,25,14769068,16697867,14,0.35687
20,22573,22597,25,50676182,52674980,50,0.35543
11,14614,14638,25,77484457,79174664,77,0.35403
7,9029,9053,25,24014128,26155472,24,0.34348
18,20612,20636,25,11087325,12947633,11,0.33913
15,18151,18175,25,38078775,40530772,38,0.33292
6,7502,7526,25,10638463,12169113,10,0.33051
11,13760,13784,25,3345221,5010099,3,0.32524
12,14953,14977,25,2387957,4147501,2,0.32347
2,2291,2315,25,30402454,31870220,30,0.32186
12,15272,15296,25,34587250,36828848,34,0.32086
12,15709,15733,25,80629629,82661747,80,0.3208
23,24798,24822,25,42581988,44458259,42,0.31953
5,7127,7151,25,100139180,103911258,100,0.31729
6,7967,7991,25,49724627,51791836,49,0.31531
25,26061,26085,25,34535480,35853810,34,0.31469
13,16607,16631,25,67264571,69462978,67,0.31202
11,14860,14884,25,101425601,103289035,101,0.31046
2,3264,3288,25,127192536,129314836,127,0.3084
24,25093,25117,25,11693173,13810452,11,0.30836
8,10666,10690,25,54779775,56343552,54,0.30025
6,8034,8058,25,55594667,58342338,55,0.29933
27,27204,27228,25,36054950,37389551,36,0.2933
5,6926,6950,25,76479355,78886080,76,0.29
13,16024,16048,25,17232510,19067761,17,0.28849
20,22336,22360,25,28463308,31704692,28,0.28332
7,9202,9226,25,37839380,39327370,37,0.28234
28,27384,27408,25,5267865,7068698,5,0.28187
16,18937,18961,25,28999146,30935096,28,0.27967
14,17058,17082,25,20273115,22226073,20,0.27636
15,17866,17890,25,16989112,19522861,16,0.27541
17,20431,20455,25,71764498,73961642,71,0.26991
8,11298,11322,25,108343690,110455623,108,0.26853
6,7902,7926,25,45017700,46680701,45,0.26634
8,10328,10352,25,25958375,27749930,25,0.26411
3,4665,4689,25,111214429,113404503,111,0.26307
19,21591,21615,25,34836416,36437188,34,0.25797
7,9841,9865,25,92744435,96192503,92,0.25549
11,13950,13974,25,16130458,17859035,16,0.25466
20,22631,22655,25,56438458,57720183,56,0.25243
3,3751,3775,25,35287458,39143931,35,0.25186
14,17646,17670,25,77941252,80618301,77,0.2515
26,26405,26429,25,20668949,22826271,20,0.25096
8,10380,10404,25,30284829,32450361,30,0.24924
19,21502,21526,25,26331593,28804007,26,0.24878
20,22148,22172,25,9990379,12042259,9,0.24278
25,26092,26116,25,36309252,38171850,36,0.24193
6,8321,8345,25,86460153,89479553,86,0.24122
15,18304,18328,25,53041839,54995188,53,0.23906
11,14080,14104,25,24817971,27587137,24,0.2387
20,22225,22249,25,17281716,19231361,17,0.23822
6,8175,8199,25,68865490,71579177,68,0.23765
8,10413,10437,25,33964937,35773975,33,0.23613
15,18585,18609,25,76040500,77451913,76,0.23493
29,27918,27942,25,3461095,5882258,3,0.23455
10,12983,13007,25,44362494,45834171,44,0.23411
28,27718,27742,25,34021273,35354394,34,0.23352
29,28322,28346,25,40507958,42406544,40,0.23275
25,25786,25810,25,12161098,14293043,12,0.2321
8,10902,10926,25,76454131,78055295,76,0.23132
21,23282,23306,25,40408803,42051380,40,0.23066
19,21782,21806,25,49247372,51148913,49,0.23065
6,8703,8727,25,114019660,115261032,114,0.23
1,1460,1484,25,127166834,129007020,127,0.22793
7,8935,8959,25,15421110,17871862,15,0.22677
9,11809,11833,25,41989065,45231268,41,0.22264
14,17169,17193,25,29817571,31785149,29,0.22263
10,13337,13361,25,77234231,79877539,77,0.22256
12,15326,15350,25,43799317,46589464,43,0.22222
4,5148,5172,25,30770711,33769233,30,0.22181
11,13786,13810,25,5060899,6508112,5,0.22143
24,25623,25647,25,60745394,62593028,60,0.22073
20,22470,22494,25,41016884,42937884,41,0.21951
6,7829,7853,25,40063618,41611777,40,0.21931
2,2748,2772,25,71132639,73234975,71,0.21928
22,24149,24173,25,47295266,48727610,47,0.21894
4,5581,5605,25,68140952,70508946,68,0.21839
16,19042,19066,25,36891801,38325971,36,0.2177
7,9409,9433,25,56022790,57641183,56,0.21724
23,24911,24935,25,50688170,51991897,50,0.21589
3,3712,3736,25,32112753,34263481,32,0.21521
29,28202,28226,25,29484704,31647640,29,0.21511
1,642,666,25,55150553,57623335,55,0.21482
1,1709,1733,25,145777153,147484581,145,0.21479
13,16100,16124,25,25057651,26794137,25,0.21478
1,598,622,25,52075648,54052439,52,0.21474
23,24754,24778,25,39649309,41349455,39,0.21337
19,21740,21764,25,46044695,48209594,46,0.21265
28,27624,27648,25,25986353,27455951,25,0.21165
15,18192,18216,25,42261266,43746244,42,0.21152
11,13857,13881,25,9288132,10882793,9,0.21126
2,2659,2683,25,63355675,65249007,63,0.21032
26,26505,26529,25,28834901,30284186,28,0.21002
9,11784,11808,25,38575112,41774653,38,0.20922
13,16448,16472,25,55642499,57198685,55,0.20841
8,10185,10209,25,11337522,15441189,11,0.20733
14,16924,16948,25,8698150,10466300,8,0.2072
5,6284,6308,25,5400651,7022191,5,0.20547
3,4278,4302,25,83856945,85498963,83,0.20303
6,8367,8391,25,91106000,92623916,91,0.20155
7,9091,9115,25,28657444,30840149,28,0.19789
12,15775,15799,25,86114773,87672871,86,0.19783
27,26923,26947,25,14615571,15863242,14,0.1957
4,5971,5995,25,102083448,104248050,102,0.19556
28,27544,27568,25,18107065,20421361,18,0.19532
6,7408,7432,25,1471923,3881747,1,0.19526
11,14777,14801,25,94446742,96816255,94,0.19518
1,1142,1166,25,98779294,100297745,98,0.19451
24,25453,25477,25,43763122,46648689,43,0.19432
6,8548,8572,25,103926853,105626710,103,0.19385
22,23918,23942,25,23984012,26924506,23,0.18911
21,23053,23077,25,19725319,21532974,19,0.18865
5,6819,6843,25,67586221,69571158,67,0.18814
16,18875,18899,25,21529188,25185581,21,0.18803
13,15935,15959,25,8831875,10302310,8,0.1877
1,1081,1105,25,93954887,95819377,93,0.18727
18,20798,20822,25,26658261,28999193,26,0.18627
4,5231,5255,25,37916175,39719917,37,0.18534
14,17101,17125,25,23817572,25771436,23,0.18513
20,22011,22035,25,460064,2415716,0,0.18497
24,25177,25201,25,20823403,22519060,20,0.18496
1,290,314,25,27181523,29696010,27,0.18492
21,23496,23520,25,61094140,63014645,61,0.18459
14,17527,17551,25,66194561,68549959,66,0.18378
25,25886,25910,25,21225000,22837178,21,0.18335
6,8609,8633,25,108257168,109835444,108,0.1828
9,11637,11661,25,25431900,28149131,25,0.18276
11,14034,14058,25,21994682,23538009,21,0.18212
3,4770,4794,25,119113936,121228888,119,0.18033
29,28236,28260,25,32420629,34263203,32,0.18011
6,8081,8105,25,61069604,62575682,61,0.17834
17,20339,20363,25,65955687,67245920,65,0.17805
1,76,100,25,5519845,7530524,5,0.17672
4,5097,5121,25,26066864,27604132,26,0.17591
13,16292,16316,25,41871616,44206849,41,0.1758
11,14207,14231,25,36067752,38445947,36,0.17495
22,23626,23650,25,422262,2655659,0,0.17449
4,5440,5464,25,56727118,58468024,56,0.17388
29,27990,28014,25,10373536,12289233,10,0.17381
5,6330,6354,25,8583306,10236503,8,0.17355
11,14518,14542,25,68277183,70065583,68,0.17335
18,20986,21010,25,43470260,46124864,43,0.17317
10,13210,13234,25,63836108,66560673,63,0.1731
15,17988,18012,25,26532213,28115478,26,0.1724
29,28393,28417,25,46099425,47826672,46,0.17233
26,26605,26629,25,37203584,39121205,37,0.17229
3,4516,4540,25,100635895,102056606,100,0.17206
8,10822,10846,25,68714404,71293524,68,0.17099
1,206,230,25,20503996,22187222,20,0.17092
26,26195,26219,25,3308703,5050225,3,0.17039
27,27125,27149,25,30089811,31794586,30,0.16967
13,16361,16385,25,46978300,48522460,46,0.16911
13,16677,16701,25,73191673,74973171,73,0.16896
4,5341,5365,25,47539595,49535036,47,0.16886
15,18344,18368,25,56246427,58796348,56,0.16833
24,25481,25505,25,47258091,49813314,47,0.16805
9,11958,11982,25,56973559,58579267,56,0.1678
11,14007,14031,25,20498182,21766263,20,0.16692
7,9874,9898,25,97501859,99845133,97,0.16486
5,6236,6260,25,2236004,3981504,2,0.16461
22,24224,24248,25,54065331,55700320,54,0.16385
4,4960,4984,25,14807579,16800525,14,0.16223
24,25221,25245,25,25332919,27444828,25,0.16107
25,25827,25851,25,15459513,17439343,15,0.15953
11,14742,14766,25,90738123,92785424,90,0.15942
24,24938,24962,25,632760,2186221,0,0.15861
3,3487,3511,25,7866803,10660524,7,0.15835
22,23953,23977,25,28111843,30894155,28,0.158
7,8781,8805,25,244816,1817682,0,0.15675
11,14698,14722,25,86093825,88377200,86,0.15668
9,12114,12138,25,72576471,75107997,72,0.15606
5,6779,6803,25,62394447,65597776,62,0.15591
14,17141,17165,25,27115079,29388540,27,0.15589
27,27163,27187,25,32724283,35024154,32,0.15483
14,17590,17614,25,72381743,74991009,72,0.15476
28,27685,27709,25,29981371,33262793,29,0.15454
5,6901,6925,25,74518588,76457030,74,0.15413
2,3369,3393,25,135167307,136248228,135,0.1537
7,8849,8873,25,4286714,5955666,4,0.1534
2,2940,2964,25,97368169,101255449,97,0.15306
14,17410,17434,25,55422320,58203661,55,0.15181
17,20098,20122,25,46140152,47808938,46,0.15148
13,16202,16226,25,34851781,36480046,34,0.14929
6,8506,8530,25,100971248,102659834,100,0.14928
7,8995,9019,25,21249976,23426104,21,0.14774
