BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
9,11385,11409,25,2355048,4476378,2,0.86938
26,26420,26444,25,21977581,23964078,21,0.6734
5,6913,6937,25,75417666,77095345,75,0.60686
11,13919,13943,25,13730813,15524960,13,0.54876
6,8634,8658,25,109868839,111321399,109,0.52957
21,23087,23111,25,22012794,23755490,22,0.51726
12,14953,14977,25,2387957,4147501,2,0.50382
4,5022,5046,25,20136412,21574492,20,0.49038
13,16343,16367,25,46079192,47256972,46,0.47479
2,1891,1915,25,189886,1406013,0,0.47155
8,10902,10926,25,76454131,78055295,76,0.45983
7,9267,9291,25,41956061,43808593,41,0.44704
6,7397,7421,25,615089,2940803,0,0.44236
20,22572,22596,25,50609613,52271324,50,0.43113
16,18974,18998,25,31813761,33671664,31,0.4187
1,1678,1702,25,143615536,145222792,143,0.41811
7,9301,9325,25,44658442,46883556,44,0.41801
4,5301,5325,25,44542142,46043537,44,0.40918
11,14176,14200,25,32954702,35473575,32,0.3837
4,6017,6041,25,106633751,108120633,106,0.35811
19,21740,21764,25,46044695,48209594,46,0.33538
8,10426,10450,25,34847992,37136374,34,0.33099
14,17049,17073,25,19409567,21626317,19,0.32688
18,20647,20671,25,14058919,17048434,14,0.32331
4,5097,5121,25,26066864,27604132,26,0.32177
11,14207,14231,25,36067752,38445947,36,0.31708
21,23494,23518,25,60689040,62927337,60,0.31529
1,1197,1221,25,103034522,105810391,103,0.31202
11,14145,14169,25,30551963,32333903,30,0.30222
13,16070,16094,25,21676028,24355847,21,0.30013
18,21133,21157,25,56238540,58404041,56,0.29847
5,6408,6432,25,15780939,20609872,15,0.29676
11,14614,14638,25,77484457,79174664,77,0.29666
26,26336,26360,25,15231279,17225652,15,0.29427
24,24938,24962,25,632760,2186221,0,0.29416
13,16616,16640,25,67994235,70656675,67,0.29053
1,1150,1174,25,99345463,100835682,99,0.2898
14,17336,17360,25,48359660,49955911,48,0.28948
20,22768,22792,25,65220743,67090770,65,0.28919
25,26062,26086,25,34565592,35909653,34,0.28751
21,22892,22916,25,5690539,8204919,5,0.28291
17,20180,20204,25,54858337,56514551,54,0.28128
6,7989,8013,25,51624757,54137247,51,0.27788
1,594,618,25,51258380,53656600,51,0.27772
27,27182,27206,25,34704855,36117365,34,0.27726
8,10528,10552,25,44027940,45829367,44,0.27575
6,7874,7898,25,43037439,44672692,43,0.27303
22,23835,23859,25,16696579,18391209,16,0.27239
7,9838,9862,25,92201609,95838186,92,0.27198
10,12669,12693,25,14616020,16412340,14,0.26977
11,14866,14890,25,102131174,103615735,102,0.26956
6,7754,7778,25,31353827,33581983,31,0.26765
14,17169,17193,25,29817571,31785149,29,0.26743
19,21797,21821,25,50336021,52204367,50,0.26651
15,18407,18431,25,62002976,64214143,62,0.26259
22,23900,23924,25,21686600,24347814,21,0.26248
17,19779,19803,25,16166026,18493662,16,0.26221
4,5973,5997,25,102159647,104310808,102,0.26007
5,6587,6611,25,37892017,40402061,37,0.26002
19,21310,21334,25,10542886,13425388,10,0.25921
13,15947,15971,25,9623038,12076103,9,0.25786
2,2738,2762,25,70299376,71927870,70,0.25509
18,20797,20821,25,26630875,28734924,26,0.2531
4,4846,4870,25,6470892,7736057,6,0.25115
6,8066,8090,25,59565686,61810659,59,0.2498
7,8970,8994,25,19084659,21146198,19,0.24892
19,21685,21709,25,42289012,44303116,42,0.24632
26,26546,26570,25,31718007,33495295,31,0.2437
20,22603,22627,25,53493724,56196291,53,0.23905
19,21946,21970,25,59879433,61205726,59,0.23886
8,10642,10666,25,52939275,54779775,52,0.23796
13,16380,16404,25,48233706,51254301,48,0.23758
14,17477,17501,25,61886828,63431800,61,0.23736
2,2939,2963,25,97133448,100407427,97,0.23675
7,9409,9433,25,56022790,57641183,56,0.23577
23,24865,24889,25,47677534,49200814,47,0.23323
8,10927,10951,25,78082969,79932091,78,0.231
2,3036,3060,25,108549488,110139283,108,0.22978
19,21911,21935,25,57694213,58989919,57,0.22951
8,10325,10349,25,25740745,27557552,25,0.22888
2,3113,3137,25,114317194,115771013,114,0.22729
8,10454,10478,25,37403028,39541982,37,0.22708
16,19520,19544,25,77563834,79214703,77,0.22707
18,21050,21074,25,48980250,51546064,48,0.22622
1,284,308,25,26710358,29195211,26,0.22476
6,8322,8346,25,86794730,89505004,86,0.22471
5,6884,6908,25,73214162,75164239,73,0.22374
8,10401,10425,25,32157989,34827816,32,0.22225
17,20386,20410,25,68421115,70460874,68,0.22125
12,15439,15463,25,52492536,53756393,52,0.22083
25,25786,25810,25,12161098,14293043,12,0.22031
17,20235,20259,25,58821993,60612635,58,0.21991
16,18937,18961,25,28999146,30935096,28,0.21907
11,14534,14558,25,69270522,71365918,69,0.21858
18,20926,20950,25,39204491,40905255,39,0.21765
20,22656,22680,25,57781878,59109201,57,0.21757
18,20762,20786,25,24233826,26045554,24,0.21723
7,8910,8934,25,13279972,15393049,13,0.21603
24,25030,25054,25,7286128,8740300,7,0.21599
7,9543,9567,25,66722552,69104720,66,0.21356
8,10223,10247,25,16648313,19014469,16,0.21243
25,25999,26023,25,30612098,32575148,30,0.21077
6,8706,8730,25,114157063,115418517,114,0.20964
20,22336,22360,25,28463308,31704692,28,0.20913
24,24963,24987,25,2393800,3779702,2,0.20787
20,22103,22127,25,7143287,8636338,7,0.20697
17,19611,19635,25,3445779,5153621,3,0.20506
6,8103,8127,25,62452162,64578869,62,0.20373
2,3212,3236,25,123247319,124737053,123,0.2033
16,19127,19151,25,46599711,48405692,46,0.20202
16,19050,19074,25,37278839,38926711,37,0.20098
6,8160,8184,25,67193418,70025545,67,0.19952
6,7488,7512,25,9524226,11210868,9,0.19927
4,4937,4961,25,12678906,15029333,12,0.19834
27,26890,26914,25,12583844,14100430,12,0.19829
20,22213,22237,25,16402419,18176797,16,0.19741
25,25652,25676,25,237319,2105645,0,0.1973
18,20610,20634,25,10931741,12620198,10,0.19667
28,27442,27466,25,9431460,11897521,9,0.19654
1,1019,1043,25,87913280,90121176,87,0.19587
5,6625,6649,25,41666974,43481128,41,0.19463
20,22423,22447,25,37596667,39350230,37,0.19442
7,9029,9053,25,24014128,26155472,24,0.19346
9,11641,11665,25,25793691,28400169,25,0.19323
5,7127,7151,25,100139180,103911258,100,0.19287
15,18545,18569,25,73304557,74973501,73,0.19227
6,8665,8689,25,111715550,113121868,111,0.1916
19,21860,21884,25,54446207,55967853,54,0.19085
15,17866,17890,25,16989112,19522861,16,0.19045
14,17116,17140,25,25215027,27035971,25,0.19041
9,11410,11434,25,4547993,6299106,4,0.19024
6,7835,7859,25,40355102,41890785,40,0.18939
6,8035,8059,25,55616565,58473731,55,0.18843
8,10483,10507,25,39995181,41883274,39,0.18839
7,10018,10042,25,110756252,111931788,110,0.18787
29,28391,28415,25,45974645,47744819,45,0.18773
12,15288,15312,25,35934370,40331755,35,0.18709
10,13324,13348,25,75743110,78345178,75,0.18684
5,6286,6310,25,5500808,7175086,5,0.18681
20,22186,22210,25,13363297,16298635,13,0.18602
24,25402,25426,25,38962480,40983360,38,0.18509
